TRACE: [Apr 22 2023 | 17:27:18] Starting the server
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"Admin"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"Admin"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"Admin"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"Admin"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"Admin"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"Admin"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[{"id":57,"from_id":1,"sending_date":22042023,"sending_time":1744,"context":"Hey","username":"You"}],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":9,"chat_id":1,"id":55}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":9,"chat_id":1,"id":55}
TRACE: [Apr 22 2023 | 17:42:17] Handling delete message request
TRACE: [Apr 22 2023 | 17:42:17] SQL request was executed
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":14}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":9,"chat_id":1,"id":57}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":9,"chat_id":1,"id":57}
TRACE: [Apr 22 2023 | 17:42:17] Handling delete message request
TRACE: [Apr 22 2023 | 17:42:17] SQL request was executed
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":14}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[{"msg_id":55},{"msg_id":57}],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[{"msg_id":55},{"msg_id":57}],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[{"msg_id":55},{"msg_id":57}],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[{"msg_id":55},{"msg_id":57}],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Sending response
TRACE: [Apr 22 2023 | 17:42:17] {"messages":[],"deleted":[],"edited":[],"rtype":12}
TRACE: [Apr 22 2023 | 17:42:17] Request was received: {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Request was received
TRACE: [Apr 22 2023 | 17:42:17] {"rtype":8,"room_id":1,"mode":2,"start_id":57,"count":10000}
TRACE: [Apr 22 2023 | 17:42:17] Hadling get chat messages
TRACE: [Apr 22 2023 | 17:42:17] ID
TRACE: [Apr 22 2023 | 17:42:17] 1
TRACE: [Apr 22 2023 | 17:42:17] Building message array
